t	a(t)
100	15.341862666666675
150	16.303214000000004
200	17.127928666666673
250	17.641337999999998
300	18.236116666666657
350	18.681741333333346
400	19.084410999999992
450	19.444696333333333
500	19.72611133333334
550	20.022118333333353
600	20.368337333333333
650	20.539470666666666
700	20.840475666666663
750	21.07035766666666
800	21.175675333333338
850	21.42568666666665
900	21.59909500000001
950	21.780064000000007
1000	21.84208666666668
1050	21.974235000000007
1100	22.121136333333332
1150	22.273433
1200	22.33152233333334
1250	22.393552666666654
1300	22.487499999999986
1350	22.588608333333326
1400	22.75831133333334
1450	22.856680999999995
1500	22.97805566666667
1550	23.05459433333334
1600	23.165438666666667
1650	23.255756666666695
1700	23.376424333333333
1750	23.43538566666668
1800	23.525152666666653
1850	23.598473000000006
1900	23.61906900000001
1950	23.689929333333325
2000	23.808348333333324
2050	23.848513000000022
2100	23.906759999999988
2150	23.96389666666666
2200	24.042818000000008
2250	24.11008133333333
2300	24.20081966666665
2350	24.27894866666667
2400	24.372471666666684
2450	24.424942000000016
2500	24.49085666666667
2550	24.57181833333333
2600	24.642388000000008
2650	24.664955333333335
2700	24.724466333333336
2750	24.79297133333333
2800	24.88841500000001
2850	24.948635666666668
2900	24.97235
2950	24.994159000000007
3000	25.087204000000018
3050	25.132224666666687
3100	25.20785466666666
3150	25.285310333333346
3200	25.342870666666666
3250	25.388647000000002
3300	25.438895333333335
3350	25.487041666666673
3400	25.53415600000001
3450	25.55288400000001
3500	25.58608033333334
3550	25.581918333333334
3600	25.64870700000002
3650	25.708126333333336
3700	25.74155533333334
3750	25.767131666666636
3800	25.82048066666666
3850	25.881483666666675
3900	25.933744666666676
3950	25.965317666666664
4000	25.985412333333358
4050	26.01556833333332
4100	26.06392933333331
4150	26.120761333333355
4200	26.159715666666678
4250	26.194029333333344
4300	26.185258000000008
4350	26.23147
4400	26.27389733333334
4450	26.268140999999993
4500	26.283298333333327
4550	26.348440000000018
4600	26.375231999999997
4650	26.410834666666677
4700	26.44861333333332
4750	26.493262000000005
4800	26.574398333333324
4850	26.60310966666666
4900	26.640155666666672
4950	26.67267166666668
5000	26.710224000000007
5050	26.72176133333332
5100	26.74478599999999
5150	26.786924333333346
5200	26.801340000000014
5250	26.845949666666673
5300	26.868731666666672
5350	26.890893666666646
5400	26.91931166666668
5450	26.922511666666665
5500	26.947142666666664
5550	26.942656000000014
5600	26.935481666666664
5650	26.96467
5700	26.92665433333332
5750	26.939472333333335
5800	26.961163333333317
5850	26.981442666666688
5900	26.989181666666635
5950	26.975728666666658
6000	27.005676000000015
6050	27.03411566666667
6100	27.075456333333356
6150	27.112175999999995
6200	27.146637666666656
6250	27.16861466666667
6300	27.19767499999999
6350	27.215266666666672
6400	27.214271
6450	27.227632333333325
6500	27.260662666666672
6550	27.251147666666654
6600	27.21615399999998
6650	27.226518000000002
6700	27.242883666666653
6750	27.257606999999997
6800	27.269771333333345
6850	27.287469666666663
6900	27.297834999999996
6950	27.320231666666665
7000	27.345192999999995
7050	27.37525666666667
7100	27.402438333333357
7150	27.413766333333328
7200	27.425493
7250	27.46268966666666
7300	27.47473366666667
7350	27.48270366666666
7400	27.503344
7450	27.548479
7500	27.58311000000001
7550	27.611578000000016
7600	27.62761633333331
7650	27.661764333333334
7700	27.690152000000012
7750	27.70603133333332
7800	27.726491
7850	27.735327666666677
7900	27.728974666666655
7950	27.73945100000002
8000	27.76068066666668
8050	27.770864999999983
8100	27.80484700000002
8150	27.828743333333342
8200	27.822686
8250	27.855519333333348
8300	27.883852333333326
8350	27.890955999999992
8400	27.880139999999997
8450	27.89651533333336
8500	27.92137466666667
8550	27.941268
8600	27.954210666666672
8650	27.96572933333332
8700	27.973713333333333
8750	27.987735666666687
8800	28.011061666666652
8850	28.026760999999986
8900	28.022989333333335
8950	28.046404000000003
9000	28.074847333333334
9050	28.10243566666668
9100	28.077951333333342
9150	28.105287000000008
9200	28.12728766666669
9250	28.115857999999996
9300	28.13293533333331
9350	28.13965399999998
9400	28.176692333333335
9450	28.197339
9500	28.209347333333316
9550	28.208001000000003
9600	28.244123666666667
9650	28.265386000000003
9700	28.277388333333334
9750	28.312287000000023
9800	28.33449033333336
9850	28.34439399999998
9900	28.361100333333336
9950	28.37570799999998
10000	28.352364999999995
10050	28.36661733333333
10100	28.38347266666666
10150	28.360943
10200	28.36822299999998
10250	28.408282333333343
10300	28.42582233333334
10350	28.420858000000013
10400	28.443888666666673
10450	28.45928366666665
10500	28.485884666666685
10550	28.505329333333346
10600	28.498157333333346
10650	28.531456333333324
10700	28.54751933333332
10750	28.581489333333337
10800	28.584825000000013
10850	28.60468666666668
10900	28.59401633333333
10950	28.613630000000004
11000	28.638570666666663
11050	28.63756000000002
11100	28.65382866666665
11150	28.665595666666658
11200	28.687804666666683
11250	28.70861366666666
11300	28.690868000000016
11350	28.72194
11400	28.706524000000016
11450	28.739441333333307
11500	28.765441333333328
11550	28.777228
11600	28.78461933333331
11650	28.795354000000007
11700	28.81288066666666
11750	28.843906999999994
11800	28.86175399999997
11850	28.870315333333323
11900	28.90436066666666
11950	28.917185666666665
12000	28.911433666666664
12050	28.908756333333326
12100	28.92938066666665
12150	28.940892333333323
12200	28.965458666666677
12250	28.984679999999994
12300	28.998472333333332
12350	29.015713999999978
12400	29.027241333333343
12450	29.04983966666666
12500	29.046573333333363
12550	29.047004000000005
12600	29.04996199999999
12650	29.06141733333332
12700	29.058707000000005
12750	29.065308999999985
12800	29.066067666666672
12850	29.081028666666644
12900	29.088760333333333
12950	29.087891333333317
13000	29.082287666666687
13050	29.10760333333332
13100	29.143229666666674
13150	29.143487333333336
13200	29.171152666666682
13250	29.173937333333335
13300	29.13768833333333
13350	29.145004000000004
13400	29.15412133333334
13450	29.166783666666674
13500	29.173970333333326
13550	29.16394933333333
13600	29.178885999999995
13650	29.196891666666687
13700	29.206383666666692
13750	29.229295000000008
13800	29.247651333333323
13850	29.26129733333333
13900	29.274435666666662
13950	29.275096666666663
14000	29.274645333333332
14050	29.274486999999997
14100	29.289017666666677
14150	29.302983333333316
14200	29.32301300000001
14250	29.336646000000005
14300	29.35049866666669
14350	29.368066999999975
14400	29.394974333333337
14450	29.41510566666666
14500	29.42553
14550	29.42592999999999
14600	29.450763666666663
14650	29.45962333333333
14700	29.469365333333318
14750	29.453617333333327
14800	29.473781333333335
14850	29.46872533333332
14900	29.465779666666645
14950	29.473650333333346
15000	29.477773
15050	29.48020700000001
15100	29.483460333333362
15150	29.508933999999986
15200	29.517188
15250	29.532900333333302
15300	29.559243999999993
15350	29.577675666666693
15400	29.585804999999993
15450	29.596109666666663
15500	29.611546333333322
15550	29.624602333333314
15600	29.64014266666666
15650	29.601337666666666
15700	29.594817333333335
15750	29.61038399999999
15800	29.610359333333328
15850	29.624446999999982
15900	29.634148
15950	29.641886333333332
16000	29.65573533333332
16050	29.65975
16100	29.669591999999977
16150	29.68559033333333
16200	29.707724333333328
16250	29.704894000000017
16300	29.706996999999987
16350	29.713513333333328
16400	29.730409999999992
16450	29.740382666666672
16500	29.744966666666677
16550	29.763690333333326
16600	29.762800999999993
16650	29.781741333333333
16700	29.796348333333334
16750	29.80921366666665
16800	29.821816999999978
16850	29.828294333333353
16900	29.824098999999986
16950	29.84925733333331
17000	29.86364233333335
17050	29.86985799999998
17100	29.882400333333337
17150	29.895368333333312
17200	29.908352333333337
17250	29.91729100000004
17300	29.92613399999999
17350	29.926901333333348
17400	29.94232366666667
17450	29.951084333333327
17500	29.964280666666674
17550	29.980900666666653
17600	30.002141666666677
17650	30.004977000000018
17700	29.989045
17750	30.004481999999996
17800	30.00490599999999
17850	30.016120999999966
17900	30.02811300000002
17950	30.04518866666666
18000	30.0541053333333
18050	30.05356600000001
18100	30.071872999999997
18150	30.074678666666667
18200	30.060394333333317
18250	30.06986633333336
18300	30.078024999999997
18350	30.093661666666648
18400	30.09845833333335
18450	30.09227733333334
18500	30.10472900000002
18550	30.08966533333333
18600	30.098665666666687
18650	30.105127333333325
18700	30.124654999999983
18750	30.136981333333335
18800	30.162744666666658
18850	30.148150333333348
18900	30.14771899999999
18950	30.169024333333326
19000	30.18272933333333
19050	30.185299333333326
19100	30.190469666666672
19150	30.18996833333334
19200	30.203944666666665
19250	30.199686666666658
19300	30.197972666666654
19350	30.194785333333325
19400	30.221519666666694
19450	30.231634999999986
19500	30.237556999999978
19550	30.247930333333333
19600	30.257632666666655
19650	30.2531423333333
19700	30.246795999999996
19750	30.23871733333335
19800	30.254743666666666
19850	30.260910000000003
19900	30.262424
19950	30.26415433333336
20000	30.27770033333336
20050	30.284402666666672
20100	30.271631999999986
20150	30.27908066666668
20200	30.286140000000003
20250	30.295831000000017
20300	30.313070000000014
20350	30.32325499999999
20400	30.337155999999982
20450	30.343824666666674
20500	30.351234000000005
20550	30.34587766666667
20600	30.354073666666665
20650	30.341828999999993
20700	30.339023000000005
20750	30.348202
20800	30.36297733333334
20850	30.358437000000006
20900	30.378666333333314
20950	30.386144000000023
21000	30.396065999999973
21050	30.41583199999999
21100	30.41519466666666
21150	30.424028666666665
21200	30.43655133333333
21250	30.45258933333334
21300	30.44518033333333
21350	30.436659333333342
21400	30.458781666666656
21450	30.459586666666674
21500	30.462612333333315
21550	30.464492666666672
21600	30.478332333333327
21650	30.478244666666676
21700	30.484986666666654
21750	30.494788000000014
21800	30.50886166666667
21850	30.512290666666672
21900	30.51999700000002
21950	30.515854666666666
22000	30.531295333333333
22050	30.541290666666647
22100	30.55768699999998
22150	30.564423333333323
22200	30.560514666666677
22250	30.563603333333333
22300	30.580359333333362
