t	a(t)
22350	30.579134
22400	30.58731200000002
22450	30.584514333333356
22500	30.586497333333348
22550	30.59671833333333
22600	30.607271666666676
22650	30.615141666666666
22700	30.625970666666664
22750	30.64385400000001
22800	30.657190666666672
22850	30.67027766666666
22900	30.669220666666668
22950	30.65600533333336
23000	30.655633000000023
23050	30.65860500000002
23100	30.662469666666688
23150	30.65405499999998
23200	30.66254033333335
23250	30.67215366666666
23300	30.673217666666673
23350	30.674035333333315
23400	30.682440666666686
23450	30.69222633333331
23500	30.695885999999998
23550	30.703243333333315
23600	30.704575999999975
23650	30.720504000000012
23700	30.730607333333325
23750	30.74445166666667
23800	30.748943333333337
23850	30.752705999999986
23900	30.75046933333335
23950	30.752408666666657
24000	30.769446333333345
24050	30.783026666666665
24100	30.771862999999993
24150	30.778357333333346
24200	30.798473333333344
24250	30.80492233333332
24300	30.81291266666669
24350	30.81360099999999
24400	30.82609900000003
24450	30.83582966666668
24500	30.83305533333334
24550	30.82775266666665
24600	30.828716666666672
24650	30.830092000000022
24700	30.832507333333343
24750	30.814933333333318
24800	30.824094333333324
24850	30.822447666666655
24900	30.824763000000008
24950	30.83657233333337
