t	a(t)
50	15.502320689655173
100	16.766452873563217
150	17.833979310344827
200	18.529795402298856
250	19.223436781609195
300	19.65764712643678
350	19.93466091954023
400	20.342980459770118
450	20.73004022988506
500	21.20168390804597
550	21.473898850574717
600	21.682666666666666
650	21.89072068965517
700	22.05583103448275
750	22.170073563218395
800	22.30210804597702
850	22.522395402298844
900	22.781574712643675
950	22.81665517241379
1000	23.098326436781615
1050	23.257737931034487
1100	23.385734482758618
1150	23.52847356321839
1200	23.7083
1250	23.91360229885057
1300	24.094905747126433
1350	24.118929885057476
1400	24.156175862068974
1450	24.284735632183907
1500	24.451693103448278
1550	24.625128735632174
1600	24.70455977011494
1650	24.87377931034483
1700	24.930455172413797
1750	25.022244827586213
1800	25.06877356321839
1850	25.0910448275862
1900	25.183313793103444
1950	25.22494367816093
2000	25.19159080459769
2050	25.348645977011497
2100	25.463933333333333
2150	25.519902298850578
2200	25.590655172413786
2250	25.660700000000016
2300	25.793631034482754
2350	25.792991954022998
2400	25.65695862068965
2450	25.806766666666665
2500	25.915057471264358
2550	26.006060919540236
2600	26.09968505747126
2650	26.168731034482757
2700	26.287468965517238
2750	26.381758620689656
2800	26.432063218390805
2850	26.51051724137931
2900	26.519583908045973
2950	26.57911034482759
3000	26.646318390804595
3050	26.67367241379311
3100	26.65522528735633
3150	26.762613793103444
3200	26.827095402298855
3250	26.764648275862065
3300	26.82736896551724
3350	26.873142528735634
3400	26.912028735632195
3450	26.9248643678161
3500	26.979241379310338
3550	27.00566666666667
3600	27.05917126436782
3650	27.14724712643679
3700	27.207628735632195
3750	27.275788505747123
3800	27.317447126436782
3850	27.413887356321847
3900	27.49231609195402
3950	27.470703448275867
4000	27.501004597701137
4050	27.543987356321846
4100	27.64545977011493
4150	27.641657471264374
4200	27.68528275862069
4250	27.714879310344816
4300	27.721402298850577
4350	27.78797471264368
4400	27.842787356321843
4450	27.872024137931025
4500	27.924897701149426
4550	27.963672413793088
4600	27.966935632183908
4650	27.94427931034483
4700	27.91728620689656
4750	27.960924137931038
4800	28.023216091954012
4850	28.032606896551723
4900	28.059817241379303
4950	28.06625747126437
