t	b(t)
10	1.3564770114942526
60	1.0572045977011495
110	0.969540229885058
160	0.8459620689655175
210	0.7825505747126438
260	0.7419965517241381
310	0.7110275862068968
360	0.6658586206896554
410	0.6430747126436778
460	0.6121022988505748
510	0.5912999999999997
560	0.5783459770114943
610	0.558728735632184
660	0.546005747126437
710	0.5354413793103446
760	0.5198321839080461
810	0.516489655172414
860	0.5053494252873562
910	0.49866436781609186
960	0.49801379310344823
1010	0.49006781609195393
1060	0.4791068965517241
1110	0.4697563218390807
1160	0.4587540229885059
1210	0.4462379310344827
1260	0.43987241379310316
1310	0.4311793103448275
1360	0.4266632183908046
1410	0.42017816091954024
1460	0.4145183908045978
1510	0.4109827586206896
1560	0.40539885057471264
1610	0.4029655172413794
1660	0.3996770114942529
1710	0.3982712643678159
1760	0.394235632183908
1810	0.3889620689655173
1860	0.3800298850574713
1910	0.3747229885057471
1960	0.37340114942528735
2010	0.3710241379310345
2060	0.3681126436781609
2110	0.36624022988505744
2160	0.3624080459770115
2210	0.3593068965517242
2260	0.3552471264367815
2310	0.35345402298850576
2360	0.35023218390804584
2410	0.3473908045977011
2460	0.34376436781609204
2510	0.34097241379310356
2560	0.33918620689655166
2610	0.3367229885057471
2660	0.33348965517241386
2710	0.3310436781609195
2760	0.3302540229885058
2810	0.32574827586206906
2860	0.323771264367816
2910	0.3227402298850575
2960	0.3195517241379312
3010	0.3178390804597701
3060	0.3157827586206897
3110	0.313883908045977
3160	0.3129793103448277
3210	0.3090448275862069
3260	0.3037436781609195
3310	0.30106781609195404
3360	0.2990919540229885
3410	0.2979137931034484
3460	0.29615517241379313
3510	0.29334942528735636
3560	0.2924689655172413
3610	0.28987586206896554
3660	0.28733218390804594
3710	0.28667816091954024
3760	0.28351609195402305
3810	0.28176781609195395
3860	0.27899885057471274
3910	0.2771770114942529
3960	0.2757632183908046
4010	0.2748436781609195
4060	0.2747574712643677
4110	0.27331379310344817
4160	0.27152988505747133
4210	0.27029540229885046
4260	0.2691908045977011
4310	0.26711724137931037
4360	0.26577356321839074
4410	0.26463103448275876
4460	0.2637850574712644
4510	0.26355517241379306
4560	0.2627689655172413
4610	0.2615149425287356
4660	0.259719540229885
4710	0.25880344827586205
4760	0.256683908045977
4810	0.25639655172413794
4860	0.2547735632183909
4910	0.2536873563218389
4960	0.25324597701149426
