t	b	lnt	lnb	linreg	 k=[-2.32837126], b=9.06998794991192
0	364.04	0.0	5.897263751709155	9.06998794991192
1	1051.78	0.6931471805599453	6.958239245952589	7.456083978206144
2	1105.14	1.0986122886681098	7.007727302759067	6.512010674993327
3	735.68	1.3862943611198906	6.600795241574817	5.842180006500369
4	473.86	1.6094379124341003	6.160911919418331	5.322618975557981
5	313.68	1.791759469228055	5.748373357984076	4.898106703287552
6	224.42	1.9459101490553132	5.4135192962367205	4.539186691215395
7	168.28	2.0794415416798357	5.12562925872232	4.228276034794594
8	126.56	2.1972245773362196	4.840716504019344	3.954033400074736
9	99.24	2.302585092994046	4.5975411588236	3.7087150038522054
10	80.42	2.3978952727983707	4.387262901469128	3.486797520748646
11	64.24	2.4849066497880004	4.162626069638506	3.284202731581777
12	50.12	2.5649493574615367	3.9144201300278674	3.0978335917462108
13	38.16	2.6390573296152584	3.6417878465800855	2.92528271950962
14	27.82	2.70805020110221	3.325755186495297	2.7646417006393893
15	22.42	2.772588722239781	3.109953417644014	2.614372063088819
16	15.08	2.833213344056216	2.71336936257981	2.473215436218224
17	11.82	2.8903717578961645	2.469793011977952	2.340129428368961
18	8.46	2.9444389791664403	2.135349173618132	2.2142408644470795
19	6.42	2.995732273553991	1.8594181177018698	2.0948110321464313
20	3.36	3.044522437723423	1.2119409739751128	1.981209416296803
21	3.0	3.091042453358316	1.0986122886681098	1.872893549042871
22	2.5	3.1354942159291497	0.9162907318741551	1.7693933427743609
23	1.26	3.1780538303479458	0.23111172096338664	1.670298759876002
24	0.98	3.2188758248682006	-0.020202707317519466	1.5752500012040436
25	0.72	3.258096538021482	-0.3285040669720361	1.4839296200404357
